Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
"(2R)-1-[4-({6-[(2,6-Difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol",DB07761,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-(N-ACETYLAMINO)-3-[N-(2-ETHYLBUTANOYLAMINO)]BENZOIC ACID,DB07762,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE",DB07763,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Fluorescin,DB07764,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL](METHYL)AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE",DB07765,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(2Z,3E)-2,3'-biindole-2',3(1H,1'H)-dione 3-{O-[(3R)-3,4-dihydroxybutyl]oxime}",DB07766,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Ferulic acid,DB07767,small molecule,experimental,"Acids, Carbocyclic; Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents; Anticoagulants",Yes,,,,OpenFDA,146,1,No,No,No,No,No
Epitestosterone,DB07768,small molecule,experimental,Androstanes; Androstenes; Androstenols; Fused-Ring Compounds; Gonadal Hormones,No,,,,,63,0,Yes,No,No,No,No
S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,DB07769,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
5-(4-FLUOROPHENYL)-3-{[(4-METHYLPHENYL)SULFONYL]AMINO}THIOPHENE-2-CARBOXYLIC ACID,DB07770,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID",DB07771,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(1R)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",DB07772,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
5-FLUOROINDOLE PROPANOL PHOSPHATE,DB07773,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE",DB07775,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Flavone,DB07776,small molecule,approved; experimental,"Benzopyrans; Chromones; Flavones; Flavonoids; Heterocyclic Compounds, Fused-Ring",Yes,,,Oral,DrugBank text extraction,0,0,No,No,No,No,No
(S)-famoxadone,DB07778,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-({(2S)-1-[(3R)-3-AMINO-4-(2-FLUOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)BENZAMIDE,DB07779,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Farnesyl diphosphate,DB07780,small molecule,experimental,Organophosphates; Organophosphorus Compounds; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Terpenes,No,,,,,368,0,No,No,No,No,No
N-[[3-FLUORO-4-ETHOXY-PYRID-2-YL]ETHYL]-N'-[5-NITRILOMETHYL-PYRIDYL]-THIOUREA,DB07781,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-AMINO-2-TRIFLUOROMETHYL-5-HYDROXYMETHYLPYRIMIDINE PYROPHOSPHATE,DB07782,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
